date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2017-04-12,187.47594397336002,43.034931005846005,63.358374779919004,125.48,114.47209801802,48.64,129.38,12.76,141.57855227745,11.006903483507
2017-04-13,186.43825424656998,42.233222309555,63.12214656884,124.61,113.75899963963998,48.42,129.05,12.31,140.72952046261003,10.997222829607999
2017-04-17,188.12820608733998,42.866671156008,63.299317727150004,120.73,114.61075603603999,48.8,129.99,12.79,140.67957741468,11.064987406903
2017-04-18,187.98984745711002,42.985442814717,62.649690146681,121.17,115.12577153152999,49.17,129.81,12.95,140.74949768178,11.045626099103998
2017-04-19,187.6044198443,43.14380502632999,62.452833304114996,123.12,115.82896576577,49.35,130.22,12.84,142.25777772933,11.006903483507
2017-04-20,188.91882683157,43.529812917137,62.777647094349,125.21,118.06730234233999,49.95,131.42,13.11,146.39306209808998,11.055306753004
2017-04-21,189.25484064786,43.084419196976,62.817018462861995,125.03,118.08711063063,49.87,131.52,13.0,146.67274316651,11.016584137406001
2017-04-24,191.95283393751,43.678277490525,63.643817201640005,129.25,118.2158645045,50.88,132.89,13.13,146.93244701576,11.219877869291999
2017-04-25,192.84228227476,43.312064876169,64.086745097414,129.16,117.55228684685,51.36,133.49,13.49,145.51406445448998,11.239239177089999
2017-04-26,192.71380640383,43.351655429073,64.017845202516,130.08,117.83950702703001,51.36,132.79,13.41,145.61395055035,11.084348714701
2017-04-27,193.81079268643,43.203190855684994,65.03165794173199,130.92,119.33503279278999,51.91,133.38,13.63,143.02690066748002,11.045626099103998
2017-04-28,193.53407542595002,43.193293217459996,64.903700994064,130.32,120.13726846847,52.25,133.74,13.3,141.97809666091,11.065193195825
2017-05-01,192.52603397707,43.034931005846005,65.435214468992,133.57,120.08774774775,52.7,135.11,13.615,140.3699305175,11.065193195825
2017-05-02,194.22586857715,43.153702664556,65.582857100917,134.28,119.52321153153,53.04,135.0,10.3,142.38762965395,11.055409647465
2017-05-03,195.31297210044997,43.272474323266,65.69112836432801,129.89,119.14685405405001,52.84,134.85,10.39,142.65732211278,10.947790615497999
2017-05-04,197.17093084937,44.133568848912,66.173427628616,130.81,119.66186954955,53.1,134.61,10.1,144.64505542047,10.849955131893001
2017-05-05,197.06222049704,44.183057040041,65.93719941753601,133.03,120.35515963964,53.83,134.84,10.19,144.81486178344,11.074976744186001
2017-05-08,196.32101354933,44.222647592944,65.169457731528,130.78,119.94908972972999,53.99,135.0675,10.04,146.80259509113,11.065193195825
2017-05-09,195.63910315744,44.212749954719,65.130086363015,130.88,119.90947315315,54.62,135.59,10.18,145.95356327629,11.094543840906999
2017-05-10,194.33457892948002,44.04449010488,64.943072362577,131.8,120.03822702703,55.99,136.15,10.79,145.99351771463998,11.319565453201001
2017-05-11,194.44328928181,43.411041258427,64.27375909785201,130.85,119.64206126126001,55.75,136.29,11.07,145.78375691332,11.221729969595001
2017-05-12,194.26539961436,43.510017640685994,65.021815099604,131.42,119.80052756757,56.01,136.84,11.26,144.85481622179,11.084760292547
2017-05-15,195.31297210044997,43.589198746492,65.62222846943001,134.51,121.07816216216001,56.41,137.6,11.42,145.68387081746,11.153245131071
2017-05-16,195.58968936093,43.242781408589,65.79939962774,133.84,121.95963099099,56.78,138.03,12.75,145.08455424228,11.074976744186001
2017-05-17,193.71690647306,42.639025476814,64.34265899275,130.54,119.28551207206999,54.25,134.37,11.2,144.39534018081002,11.084760292547
2017-05-18,194.11460079963,42.540049094556,64.59857288808601,133.24,119.2458954955,55.15,134.54,11.28,148.34084096744,10.938007067137999
2017-05-19,194.67137285682998,42.71820658262,64.549358677445,134.43,119.82033585586001,55.88,136.43,11.4,151.29746940501002,10.957574163859
2017-05-22,197.36575191935,43.282371961492004,64.411558887648,135.8,121.53375279279,57.12,138.85,11.035,147.20213947458998,11.114110937628
2017-05-23,196.59024798253998,43.232883770362996,64.805272572781,134.74,120.97912072071999,57.8,139.52,10.89,140.49978244212,11.123894485989
2017-05-24,196.35163138659001,43.084419196976,64.89385815193499,134.9,120.78103783783999,58.51,141.12,10.89,132.86848471812002,11.495669323691
2017-05-25,198.38981481027,43.500120002459994,65.277728994939,135.88,121.92001441441002,59.22,142.85,10.98,131.81968071155,11.525019968773
