date,adj_close,open,close
2017-11-09,181.92,182.88,181.92
2017-11-10,181.72,181.0,181.72
2017-11-13,181.85,180.5,181.85
2017-11-14,181.32,181.98,181.32
2017-11-15,180.08,180.92,180.08
2017-11-16,182.3,181.18,182.3
2017-11-17,182.24,182.08,182.24
2017-11-20,182.34,182.8,182.34
2017-11-21,184.15,183.75,184.15
2017-11-22,182.9,184.32,182.9
2017-11-24,184.46,182.96,184.46
2017-11-27,185.0,184.83,185.0
2017-11-28,185.4,185.62,185.4
2017-11-29,176.85,183.87,176.85
2017-11-30,181.47,178.14,181.47
2017-12-01,179.52,179.51,179.52
2017-12-04,168.44,180.34,168.44
2017-12-05,167.54,167.69,167.54
2017-12-06,173.52,166.79,173.52
2017-12-07,174.61,173.46,174.61
2017-12-08,173.57,177.08,173.57
2017-12-11,174.31,173.77,174.31
2017-12-12,172.54,172.69,172.54
2017-12-13,176.83,173.5,176.83
2017-12-14,175.0,178.26,175.0
2017-12-15,177.49,179.36,177.49
2017-12-18,176.75,178.42,176.75
2017-12-19,174.97,176.01,174.97
2017-12-20,174.25,176.0,174.25
2017-12-21,174.56,174.05,174.56
2017-12-22,175.0,173.99,175.0
2017-12-26,174.44,174.36,174.44
2017-12-27,175.36,174.65,175.36
2017-12-28,175.55,175.92,175.55
2017-12-29,175.24,175.19,175.24
